INSERT INTO product_incomes (id, product_id, period_type, total_units_sold, product_specific_income, record_date) VALUES
(1, 1, 'yearly', 8813, 845464.46, '2024-12-31'),
(2, 1, 'yearly', 9265, 280893.38, '2023-12-31'),
(3, 1, 'yearly', 6655, 178295.35, '2022-12-31'),
(4, 1, 'yearly', 5552, 423484.44, '2021-12-31'),
(5, 1, 'yearly', 5375, 492596.88, '2020-12-31'),
(6, 1, 'yearly', 9301, 705209.58, '2019-12-31'),
(7, 1, 'yearly', 7604, 627036.09, '2018-12-31'),
(8, 1, 'monthly', 434, 14695.21, '2024-01-01'),
(9, 1, 'monthly', 739, 57875.67, '2024-02-01'),
(10, 1, 'monthly', 729, 26594.9, '2024-03-01'),
(11, 1, 'monthly', 488, 33024.73, '2024-04-01'),
(12, 1, 'monthly', 650, 44891.17, '2024-05-01'),
(13, 1, 'monthly', 575, 18647.99, '2024-06-01'),
(14, 1, 'monthly', 698, 28184.93, '2024-07-01'),
(15, 1, 'monthly', 732, 33328.44, '2024-08-01'),
(16, 1, 'monthly', 461, 18848.88, '2024-09-01'),
(17, 1, 'monthly', 725, 35044.67, '2024-10-01'),
(18, 1, 'monthly', 729, 45350.51, '2024-11-01'),
(19, 1, 'monthly', 523, 26366.77, '2024-12-01'),
(20, 1, 'monthly', 411, 23062.44, '2023-01-01'),
(21, 1, 'monthly', 554, 25124.3, '2023-02-01'),
(22, 1, 'monthly', 740, 24159.77, '2023-03-01'),
(23, 1, 'monthly', 770, 56386.68, '2023-04-01'),
(24, 1, 'monthly', 456, 19170.78, '2023-05-01'),
(25, 1, 'monthly', 506, 34606.35, '2023-06-01'),
(26, 1, 'monthly', 528, 26912.15, '2023-07-01'),
(27, 1, 'monthly', 756, 19287.63, '2023-08-01'),
(28, 1, 'monthly', 408, 6694.97, '2023-09-01'),
(29, 1, 'monthly', 565, 30632.14, '2023-10-01'),
(30, 1, 'monthly', 778, 58235.35, '2023-11-01'),
(31, 1, 'monthly', 515, 24977.89, '2023-12-01'),
(32, 1, 'monthly', 539, 8895.05, '2022-01-01'),
(33, 1, 'monthly', 480, 28006.4, '2022-02-01'),
(34, 1, 'monthly', 577, 18852.03, '2022-03-01'),
(35, 1, 'monthly', 409, 10598.75, '2022-04-01'),
(36, 1, 'monthly', 530, 30627.07, '2022-05-01'),
(37, 1, 'monthly', 709, 30525.14, '2022-06-01'),
(38, 1, 'monthly', 467, 14697.37, '2022-07-01'),
(39, 1, 'monthly', 468, 30236.64, '2022-08-01'),
(40, 1, 'monthly', 707, 31396.41, '2022-09-01'),
(41, 1, 'monthly', 492, 18177.36, '2022-10-01'),
(42, 1, 'monthly', 633, 45543.17, '2022-11-01'),
(43, 1, 'monthly', 639, 34578.77, '2022-12-01'),
(44, 1, 'weekly', 192, 6847.16, '2024-03-01'),
(45, 1, 'weekly', 205, 8461.41, '2024-03-08'),
(46, 1, 'weekly', 225, 7780.58, '2024-03-15'),
(47, 1, 'weekly', 176, 4782.48, '2024-09-01'),
(48, 1, 'weekly', 244, 5123.66, '2024-09-08'),
(49, 1, 'weekly', 292, 5661.85, '2024-09-15'),
(50, 1, 'weekly', 224, 6979.55, '2023-03-01'),
(51, 1, 'weekly', 237, 9254.52, '2023-03-08'),
(52, 1, 'weekly', 115, 2820.81, '2023-03-15'),
(53, 1, 'weekly', 109, 2679.48, '2023-09-01'),
(54, 1, 'weekly', 217, 1921.5, '2023-09-08'),
(55, 1, 'weekly', 276, 12871.2, '2023-09-15'),
(56, 1, 'weekly', 126, 1336.55, '2022-03-01'),
(57, 1, 'weekly', 279, 9864.46, '2022-03-08'),
(58, 1, 'weekly', 258, 6627.59, '2022-03-15'),
(59, 1, 'weekly', 149, 4122.37, '2022-09-01'),
(60, 1, 'weekly', 124, 1568.99, '2022-09-08'),
(61, 1, 'weekly', 257, 8323.63, '2022-09-15'),
(62, 1, 'daily', 42, 196.28, '2024-03-01'),
