INSERT INTO products (id, product_name, category_id, supplier_id, price, amount_sold) VALUES
(1, 'iPhone 13', 1, 1, 999.99, 500),
(2, 'Samsung Galaxy S21', 1, 2, 899.99, 420),
(3, 'Google Pixel 6', 1, 3, 799.99, 300),
(4, 'OnePlus 9', 1, 4, 729.99, 250),
(5, 'Xiaomi Mi 11', 1, 5, 699.99, 310),
(6, 'Oppo Find X3 Pro', 1, 6, 949.99, 100),
(7, 'Sony Xperia 1 III', 1, 7, 1199.99, 80),
(8, 'Motorola Edge+', 1, 8, 699.99, 150),
(9, 'Huawei P40 Pro', 1, 9, 899.99, 200),
(10, 'Realme GT', 1, 10, 499.99, 180),
(11, 'iPad Air', 2, 1, 599.99, 300),
(12, 'Samsung Galaxy Tab S7', 2, 2, 649.99, 250),
(13, 'Microsoft Surface Go', 2, 3, 399.99, 200),
(14, 'Lenovo Tab P11', 2, 4, 229.99, 150),
(15, 'Amazon Fire HD 10', 2, 5, 149.99, 400),
(16, 'Huawei MatePad Pro', 2, 6, 499.99, 80),
(17, 'Asus ZenPad', 2, 7, 399.99, 90),
(18, 'Xiaomi Pad 5', 2, 8, 299.99, 130),
(19, 'Realme Pad', 2, 9, 199.99, 120),
(20, 'TCL 10 TABMAX', 2, 10, 279.99, 100),
(21, 'Oreo', 3, 1, 2.49, 1200),
(22, 'Ritz', 3, 2, 2.99, 1100),
(23, 'Digestive', 3, 3, 1.99, 900),
(24, 'Chips Ahoy!', 3, 4, 3.49, 950),
(25, 'Nilla Wafers', 3, 5, 2.89, 700),
(26, 'Graham Crackers', 3, 6, 2.79, 800),
(27, 'Tim Tam', 3, 7, 4.49, 450),
(28, 'Milano', 3, 8, 3.99, 500),
(29, 'Lotus Biscoff', 3, 9, 3.49, 600),
(30, 'Jammie Dodgers', 3, 10, 2.99, 550),
(31, 'Tide', 4, 1, 5.99, 650),
(32, 'Ariel', 4, 2, 6.49, 620),
(33, 'Persil', 4, 3, 6.99, 600),
(34, 'Gain', 4, 4, 5.79, 700),
(35, 'All Free Clear', 4, 5, 4.99, 500),
(36, 'Seventh Generation', 4, 6, 5.49, 450),
(37, 'Purex', 4, 7, 4.49, 530),
(38, 'Surf Excel', 4, 8, 5.29, 490),
(39, 'Downy', 4, 9, 5.99, 480),
(40, 'Arm & Hammer Clean Burst', 4, 10, 6.49, 510),
(41, 'Dove', 5, 1, 1.49, 900),
(42, 'Irish Spring', 5, 2, 1.19, 850),
(43, 'Dial', 5, 3, 1.29, 780),
(44, 'Ivory', 5, 4, 0.99, 600),
(45, 'Lever 2000', 5, 5, 1.39, 650),
(46, 'Yardley London', 5, 6, 2.29, 300),
(47, 'Safeguard', 5, 7, 1.69, 520),
(48, 'Caress', 5, 8, 1.89, 480),
(49, 'Palmolive', 5, 9, 1.49, 600),
(50, 'Zest', 5, 10, 1.59, 550),
(51, 'Domino Sugar', 6, 1, 450.00, 1200),
(52, 'C&H Sugar', 6, 2, 400.00, 1100),
(53, 'Imperial Sugar', 6, 3, 420.00, 900),
(54, 'Great Value Sugar', 6, 4, 380.00, 950),
(55, 'Dixie Crystals', 6, 5, 460.00, 1000),
(56, 'SweetLeaf', 6, 6, 470.00, 800),
(57, 'Pure Via', 6, 7, 480.00, 700),
(58, 'Tate & Lyle', 6, 8, 490.00, 650),
(59, 'Stevia in the Raw', 6, 9, 450.00, 780),
(60, 'Splenda Naturals', 6, 10, 430.00, 600),
(61, 'Clarks Men’s Tilden Cap Oxford', 7, 1, 22000.00, 150),
(62, 'Ecco Men’s Helsinki Oxford', 7, 2, 25000.00, 120),
(63, 'Johnston & Murphy Melton Cap Toe', 7, 3, 28000.00, 80),
(64, 'Rockport Men’s Classic Penny Loafer', 7, 4, 24000.00, 100),
(65, 'Kenneth Cole Reaction Oxford', 7, 5, 21000.00, 140),
(66, 'Dockers Men’s Gordon Cap Toe Oxford', 7, 6, 20000.00, 170),
(67, 'Florsheim Midtown Cap Toe Oxford', 7, 7, 23000.00, 90),
(68, 'Bruno Marc Men’s Dress Loafers', 7, 8, 19000.00, 130),
(69, 'Stacy Adams Madison Cap Toe', 7, 9, 27000.00, 60),
(70, 'Cole Haan Original Grand Wingtip', 7, 10, 35000.00, 50),
(71, 'Levi’s Denim Shirt', 8, 1, 15000.00, 500),
